,3
SR_Number,1-731829901
Status,Accepted
ACTIVITY,In Progress
Involved_ST_Function_Div,missing
Involved_Org_line_3,Other
Involved_ST,S56
SR_Latest_Impact,Low
Product,PROD424
Country,pl
Owner_Country,POLAND
time_from_start,6.164
time_from_previous_event(start),1.427
daytime,42944.219
weekday,Friday
# ACTIVITY=In Progress,1
# ACTIVITY=Awaiting Assignment,2
# ACTIVITY=Resolved,0
# ACTIVITY=Assigned,0
# ACTIVITY=Closed,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
# ACTIVITY=Unmatched,0
# ACTIVITY=Cancelled,0
